ident;nazwisko;imie;data_urodzenia;klasa;kod jêzyków
1401;Dlbacki;Sylwiusz;2009-05-19;IC;100
1362;Dubacka;Paulina;2009-07-12;IC;100
1158;Edbacki;Oktawiusz;2009-06-08;IC;100
1478;Egbacki;Antonin;2009-12-24;IC;100
1283;Etbacki;Tertulian;2009-01-09;IC;100
1599;Fsbacka;Kasjana;2009-11-15;IC;100
1244;Gabacka;Klaudia;2009-06-16;IC;100
1729;Gnbacka;Humbelina;2009-11-26;IC;100
1793;Kbbacka;Walentyna;2009-01-21;IC;101
1762;Kbbacki;Cyprian;2009-12-12;IC;100
1209;Kibacki;Augustyn;2009-06-30;IC;100
1042;Lcbacki;Arsacjusz;2009-09-27;IC;100
1523;Mnbacka;Leonia;2009-03-26;IC;100
1324;Nibacka;Pia;2009-12-04;IC;100
1653;Njbacki;Wenancjusz;2009-08-04;IC;100
1367;Ojbacka;Sabina;2009-03-17;IC;100
1284;Rlbacki;Dominik;2009-01-31;IC;101
1310;Rrbacki;Hospicjusz;2009-05-10;IC;100
1518;Sobacki;Rufus;2009-04-05;IC;100
1398;Uabacki;Tytus;2009-12-17;IC;100
1470;Ubbacka;Licynia;2009-12-25;IC;100
1559;Wlbacki;Lucjusz;2009-12-14;IC;100
1752;Wmbacka;Flawia;2009-06-12;IC;100
1568;Aibacki;Modest;2009-10-20;ID;010
1413;Bhbacki;German;2009-04-17;ID;010
1380;Bsbacki;Maksymilian;2009-07-02;ID;010
1368;Cjbacka;Dominika;2009-09-24;ID;010
1213;Cwbacka;Maura;2009-04-15;ID;010
1454;Dibacki;Florian;2009-04-30;ID;010
1557;Ebbacki;Tycjan;2009-04-12;ID;010
1408;Ekbacki;Marceli;2009-03-25;ID;010
1393;Embacka;Aurea;2009-10-27;ID;010
1705;Eobacki;Laurencjusz;2009-05-10;ID;010
1662;Fkbacki;Ursyn;2009-10-06;ID;010
1688;Fmbacka;Konstancja;2009-11-13;ID;010
1396;Gsbacka;Amanda;2009-05-15;ID;010
1248;Hlbacki;Marek;2009-03-22;ID;010
1164;Lmbacka;Mamertyna;2009-07-17;ID;010
1329;Lpbacki;Terencjusz;2009-10-01;ID;010
1262;Mabacki;£ucjan;2009-04-01;ID;010
1389;Mkbacki;Fotyn;2009-08-29;ID;010
1100;Mmbacka;Innocencja;2009-05-10;ID;010
1790;Nebacka;Florentyna;2009-10-31;ID;010
1670;Rdbacka;Renata;2009-12-12;ID;011
1036;Rubacki;Dominik;2009-01-10;ID;010
1654;Shbacki;Remigiusz;2009-01-21;ID;010
1200;Swbacka;Honorata;2009-01-10;ID;010
1516;Tdbacka;Kamila;2009-12-02;ID;010
1119;Tgbacka;Weridiana;2009-10-27;ID;010
1178;Twbacka;Klementyna;2009-05-03;ID;010
1409;Ubbacki;Modest;2009-12-30;ID;010
1099;Webacki;Dorian;2009-06-20;ID;010
1314;Wibacki;Maksymilian;2009-11-13;ID;010
1110;Aebacka;Lucyla;2009-09-01;IE;100
1186;Ambacka;Dalia;2009-03-05;IE;101
1717;Bdbacka;Flora;2009-12-04;IE;100
1589;Dhbacka;Kaja;2009-08-21;IE;100
1162;Epbacki;Klemens;2009-06-11;IE;100
1130;Fhbacki;Treweriusz;2009-07-05;IE;100
1781;Frbacki;Klemens;2009-12-18;IE;100
1355;Fwbacka;Tertulia;2009-03-28;IE;100
1767;Gbbacka;Wirydiana;2009-04-05;IE;100
1065;Gobacki;Sylwiusz;2009-02-12;IE;100
1703;Hbbacka;Scholastyka;2009-07-29;IE;100
1282;Hjbacka;Wiktoria;2009-07-19;IE;100
1533;Kibacka;Flora;2009-07-16;IE;100
1308;Klbacki;Faust;2009-02-05;IE;100
1268;Lfbacki;Floryn;2009-11-20;IE;100
1131;Lsbacka;Eligia;2009-09-05;IE;100
1692;Mdbacki;Mamertyn;2009-02-23;IE;100
1346;Mibacki;Sewer;2009-06-06;IE;101
1554;Msbacki;Leon;2009-02-06;IE;100
1681;Nfbacka;Regina;2009-06-26;IE;100
1684;Nnbacka;Tertulia;2009-06-21;IE;100
1713;Nnbacki;Modest;2009-06-03;IE;100
1624;Nrbacki;Laurentyn;2009-09-08;IE;100
1032;Oibacka;Aurea;2009-05-30;IE;100
1288;Ojbacki;Petroniusz;2009-03-24;IE;100
1376;Oubacki;Juniusz;2009-07-31;IE;100
1412;Rkbacki;Maniusz;2009-07-29;IE;101
1586;Snbacki;Sekundyn;2009-08-01;IE;100
1167;Ulbacki;Sabinian;2009-05-12;IE;100
1236;Upbacka;Marcjanna;2009-01-20;IE;100
1328;Bbbacki;Remigiusz;2009-09-06;IF;010
1338;Bgbacka;Fawila;2009-04-28;IF;010
1513;Fgbacki;Mariusz;2009-03-14;IF;010
1479;Gibacka;Lilla;2009-04-24;IF;010
1596;Lmbacki;Fereol;2009-11-21;IF;010
1085;Mcbacki;Wenanty;2009-08-31;IF;010
1239;Mdbacka;Bibiana;2009-11-03;IF;010
1595;Mlbacki;Honoryn;2009-04-04;IF;010
1686;Mwbacki;Seweryn;2009-04-04;IF;010
1030;Nhbacki;Turybiusz;2009-03-24;IF;010
1055;Odbacki;Konstanty;2009-05-09;IF;010
1618;Olbacki;Tarsycjusz;2009-04-26;IF;010
1145;Oubacka;Diana;2009-07-17;IF;011
1304;Pabacki;Emil;2009-10-28;IF;010
1751;Pdbacki;Ardalion;2009-05-23;IF;010
1629;Rcbacki;Dorian;2009-05-05;IF;010
1272;Rsbacka;Gaja;2009-02-02;IF;010
1267;Skbacki;Celestyn;2009-03-03;IF;010
1488;Tjbacka;Sylwana;2009-08-30;IF;010
1492;Tnbacki;Maniusz;2009-08-25;IF;010
1763;Trbacki;Fortunat;2009-08-02;IF;010
1090;Utbacka;Gracja;2009-07-15;IF;011
1632;Uubacka;Wioleta;2009-07-18;IF;010
1286;Wibacka;Kwiryna;2009-08-12;IF;011
1298;Wsbacka;Marcjanna;2009-07-21;IF;010
1214;Cgbacki;Remus;2009-09-20;IG;100
1611;Ctbacka;Waleria;2009-05-29;IG;100
1451;Cubacka;Lucyla;2009-02-26;IG;100
1731;Dubacki;Gaudenty;2009-08-10;IG;100
1144;Ehbacki;Auksencjusz;2009-08-27;IG;100
1721;Esbacka;Wiola;2009-03-06;IG;100
1191;Ffbacki;Sylwester;2009-02-05;IG;100
1735;Mgbacka;Bonita;2009-04-18;IG;100
1791;Mubacki;Scypion;2009-08-14;IG;100
1141;Ntbacki;Konstancjusz;2009-05-17;IG;100
1680;Psbacka;Natalia;2009-12-06;IG;100
1052;Rbbacki;January;2009-08-22;IG;100
1136;Rgbacka;Scholastyka;2009-09-15;IG;100
1444;Rhbacka;Letycja;2009-02-04;IG;100
1072;Swbacki;Salwator;2009-02-04;IG;100
1707;Tdbacki;Serwiusz;2009-10-02;IG;101
1107;Uibacka;Leona;2009-04-07;IG;100
1426;Ujbacka;£ucja;2009-10-19;IG;100
1638;Wwbacka;Stella;2009-03-18;IG;100
1249;Cdbacki;Barbacy;2008-01-16;IIA;100
1246;Cgbacka;Lucja;2008-07-17;IIA;100
1473;Crbacki;Kancjan;2008-11-26;IIA;100
1301;Csbacka;Gloria;2008-03-06;IIA;101
1016;Dhbacki;Roman;2008-09-20;IIA;100
1727;Ekbacka;Wera;2008-01-20;IIA;101
1639;Enbacka;Fotyna;2008-12-24;IIA;100
1109;Esbacki;Ursyn;2008-02-28;IIA;100
1040;Ewbacka;Kamila;2008-08-31;IIA;100
1005;Fnbacka;Tuskana;2008-11-01;IIA;100
1403;Fobacki;Aulus;2008-04-15;IIA;100
1008;Gtbacka;Ignacja;2008-06-26;IIA;100
1015;Hbbacki;Honorat;2008-01-17;IIA;101
1093;Hibacka;Feliksa;2008-06-18;IIA;100
1374;Hsbacka;Gloria;2008-08-03;IIA;100
1242;Labacki;Juliusz;2008-04-16;IIA;100
1156;Lfbacka;Floryna;2008-12-27;IIA;100
1092;Libacka;Wirydiana;2008-11-22;IIA;101
1778;Ljbacki;Florentyn;2008-10-04;IIA;100
1003;Nbbacki;Remigiusz;2008-02-12;IIA;101
1076;Nkbacka;Kordula;2008-07-13;IIA;100
1342;Phbacka;Dalia;2008-05-07;IIA;100
1019;Rfbacki;January;2008-10-11;IIA;101
1132;Rnbacki;Pawe³;2008-09-30;IIA;100
1007;Subacka;Gracja;2008-12-01;IIA;100
1048;Tsbacki;Julian;2008-03-21;IIA;100
1014;Udbacki;Wenerand;2008-03-15;IIA;100
1247;Ugbacki;Emilian;2008-02-01;IIA;100
1562;Webacka;Julianna;2008-03-06;IIA;100
1118;Wlbacka;Auksencja;2008-04-23;IIA;100
1228;Akbacki;Litoriusz;2008-07-16;IIB;010
1415;Albacka;Paula;2008-09-25;IIB;010
1160;Bgbacki;Sergiusz;2008-08-03;IIB;010
1183;Brbacki;Awit;2008-06-03;IIB;011
1305;Btbacka;Emilia;2008-06-18;IIB;010
1465;Bubacki;Aurelian;2008-06-21;IIB;010
1299;Cmbacki;Patrycy;2008-05-26;IIB;010
1770;Elbacki;Florencjusz;2008-09-25;IIB;010
1552;Fcbacka;Flawia;2008-01-18;IIB;010
1325;Gmbacka;Wiola;2008-10-04;IIB;010
1645;Kmbacki;Julian;2008-10-07;IIB;010
1062;Knbacki;Dacjan;2008-12-18;IIB;010
1442;Ljbacka;Lucyla;2008-08-25;IIB;010
1129;Lpbacka;Fortunata;2008-07-29;IIB;010
1500;Lubacka;Julianna;2008-01-23;IIB;011
1608;Ogbacki;Kancjusz;2008-07-01;IIB;010
1102;Pabacka;Augustyna;2008-11-16;IIB;011
1254;Rabacka;Marcelina;2008-09-25;IIB;010
1388;Rbbacka;Dominika;2008-02-21;IIB;010
1340;Rcbacka;Tuskana;2008-09-22;IIB;010
1733;Ribacka;Wera;2008-11-27;IIB;011
1240;Rrbacka;Aurelia;2008-10-12;IIB;010
1693;Sgbacka;Perpetua;2008-09-26;IIB;010
1080;Sjbacka;Modesta;2008-08-30;IIB;010
1671;Stbacka;Wiktoriana;2008-02-07;IIB;010
1723;Tlbacki;Memiusz;2008-06-04;IIB;010
1197;Tnbacka;Aurelia;2008-06-17;IIB;010
1565;Upbacki;Rufus;2008-04-16;IIB;010
1483;Utbacki;Walery;2008-08-09;IIB;010
1295;Wbbacka;Izaura;2008-12-31;IIB;010
1514;Agbacki;Sylwan;2008-03-22;IIC;100
1274;Bbbacka;Augusta;2008-09-29;IIC;100
1749;Btbacki;Floryn;2008-09-26;IIC;100
1698;Csbacki;Owidiusz;2008-01-18;IIC;100
1655;Debacka;Julia;2008-07-25;IIC;100
1486;Debacki;Bonifacy;2008-09-12;IIC;100
1481;Ebbacka;Sybillina;2008-01-21;IIC;100
1534;Ecbacki;Wincenty;2008-07-14;IIC;100
1457;Ehbacka;Miranda;2008-03-26;IIC;100
1391;Eobacka;Honorata;2008-12-10;IIC;100
1373;Fcbacki;Sylwiusz;2008-10-11;IIC;100
1112;Fjbacki;Sekundyn;2008-04-11;IIC;100
1794;Gcbacki;Wigiliusz;2008-01-01;IIC;100
1204;Kdbacki;Katerw;2008-05-03;IIC;100
1435;Kubacki;Pawe³;2008-05-05;IIC;100
1761;Mmbacki;Antoni;2008-05-23;IIC;100
1448;Nibacki;Barbacy;2008-03-18;IIC;100
1421;Nsbacka;Kasjana;2008-07-18;IIC;100
1369;Ogbacka;Juwencja;2008-07-18;IIC;100
1673;Onbacki;Honoriusz;2008-04-02;IIC;100
1661;Oobacka;Emilia;2008-09-04;IIC;100
1610;Plbacki;Honoryn;2008-03-01;IIC;100
1695;Pmbacka;Lucja;2008-04-03;IIC;100
1696;Rmbacka;Florianna;2008-12-01;IIC;101
1245;Sabacki;Juniusz;2008-05-04;IIC;100
1716;Sbbacka;Dezyderia;2008-07-10;IIC;100
1360;Srbacka;Hilaria;2008-01-09;IIC;100
1337;Tbbacka;Zyta;2008-06-22;IIC;100
1527;Ufbacki;Ardalion;2008-08-10;IIC;100
1604;Wcbacki;Dacjan;2008-03-10;IIC;100
1416;Afbacki;Dezyderiusz;2008-11-16;IID;010
1453;Cibacka;Lukrecja;2008-07-24;IID;010
1664;Ckbacki;Remus;2008-04-21;IID;010
1699;Cnbacka;Angelika;2008-11-13;IID;010
1452;Cnbacki;Fotyn;2008-11-18;IID;010
1468;Dbbacka;Bibiana;2008-07-02;IID;010
1061;Ddbacka;Wirginia;2008-03-04;IID;011
1480;Dobacka;Potencjana;2008-10-09;IID;010
1086;Fjbacka;Fotyna;2008-08-20;IID;010
1471;Frbacka;Julita;2008-10-08;IID;010
1669;Gfbacka;Pia;2008-10-24;IID;010
1142;Gibacki;Waleriusz;2008-09-13;IID;010
1051;Gsbacki;Tyburcy;2008-04-13;IID;010
1117;Gubacki;Maksencjusz;2008-12-14;IID;010
1101;Hkbacki;Walenty;2008-03-30;IID;010
1575;Hubacka;Pia;2008-04-21;IID;010
1054;Kpbacki;Klaudiusz;2008-08-05;IID;010
1590;Lcbacka;Hadrianna;2008-12-05;IID;010
1734;Libacki;Ursycyn;2008-12-18;IID;010
1199;Mrbacki;Druzjan;2008-05-31;IID;010
1027;Ndbacka;Potencjana;2008-06-16;IID;010
1411;Obbacka;Weridiana;2008-04-15;IID;011
1035;Obbacki;Treweriusz;2008-09-01;IID;010
1485;Pobacki;August;2008-04-08;IID;010
1467;Sfbacki;Tryfiliusz;2008-05-06;IID;010
1722;Sjbacki;Horacy;2008-02-16;IID;010
1578;Slbacka;Hadrianna;2008-02-27;IID;010
1359;Stbacki;B³a¿ej;2008-07-13;IID;010
1603;Aabacka;Kancjanela;2008-01-19;IIE;100
1520;Acbacka;Pudencjanna;2008-07-29;IIE;100
1660;Afbacka;Dezyderia;2008-03-31;IIE;100
1643;Bkbacka;Kandyda;2008-04-25;IIE;100
1189;Bnbacki;Marcin;2008-09-02;IIE;101
1379;Brbacka;Dalia;2008-02-18;IIE;100
1113;Dkbacka;Seweryna;2008-02-25;IIE;100
1683;Dsbacka;Laurencja;2008-12-24;IIE;100
1773;Dwbacka;Paulina;2008-11-21;IIE;101
1748;Eebacki;Fotyn;2008-09-14;IIE;100
1063;Fsbacki;Klaudian;2008-05-17;IIE;100
1433;Ghbacka;Hilaria;2008-05-16;IIE;100
1071;Hmbacki;Juniusz;2008-01-26;IIE;100
1084;Kkbacki;Tygriusz;2008-01-21;IIE;100
1410;Mhbacka;Renata;2008-07-08;IIE;100
1140;Mnbacki;Flawiusz;2008-08-21;IIE;100
1405;Nebacki;Konstans;2008-12-03;IIE;100
1462;Nlbacka;Bonita;2008-01-06;IIE;100
1075;Ocbacka;Kaja;2008-10-10;IIE;100
1434;Pkbacka;Eligia;2008-05-17;IIE;100
1395;Plbacka;Wiktoria;2008-10-02;IIE;100
1714;Pubacki;Terencjusz;2008-01-18;IIE;100
1477;Rfbacka;Nonna;2008-05-14;IIE;100
1364;Rjbacka;Sylwia;2008-03-25;IIE;100
1753;Snbacka;Leonia;2008-12-24;IIE;100
1357;Subacki;Mauryn;2008-12-23;IIE;100
1620;Tcbacka;Pia;2008-10-18;IIE;100
1307;Wfbacki;Honoriusz;2008-07-09;IIE;100
1366;Ahbacka;Fortunata;2008-09-11;IIF;010
1569;Bjbacka;Kasjana;2008-12-05;IIF;011
1690;Bpbacki;Treweriusz;2008-10-31;IIF;010
1460;Ccbacka;Waleriana;2008-11-15;IIF;010
1312;Cfbacki;Wenancjusz;2008-12-14;IIF;010
1207;Dgbacki;August;2008-10-26;IIF;010
1694;Febacki;Sylwester;2008-04-28;IIF;011
1069;Fmbacki;Nestor;2008-11-10;IIF;010
1519;Gjbacka;Druzjanna;2008-01-05;IIF;010
1315;Hcbacki;£ucjan;2008-10-16;IIF;010
1666;Hebacka;Wiola;2008-06-26;IIF;010
1181;Hebacki;Feliks;2008-05-05;IIF;010
1303;Lbbacka;Innocentyna;2008-04-07;IIF;010
1361;Lobacki;Lupus;2008-05-09;IIF;010
1120;Msbacka;Innocentyna;2008-05-14;IIF;010
1573;Mubacka;Dezyderia;2008-09-19;IIF;010
1719;Nlbacki;Sylwan;2008-06-30;IIF;010
1517;Nrbacka;Liliana;2008-06-08;IIF;010
1487;Ohbacka;Honorata;2008-08-03;IIF;010
1343;Pcbacka;Materna;2008-11-07;IIF;010
1601;Sebacki;August;2008-02-24;IIF;010
1161;Sobacka;Blandyna;2008-08-20;IIF;010
1501;Tpbacki;Tertulian;2008-04-02;IIF;010
1363;Uhbacka;Julianna;2008-12-30;IIF;010
1691;Uhbacki;Wirgiliusz;2008-12-27;IIF;010
1685;Uobacka;Rozalia;2008-01-20;IIF;010
1715;Wabacka;Zyta;2008-05-20;IIF;010
1241;Wubacka;Beata;2008-11-28;IIF;010
1609;Aabacki;Tarsycjusz;2008-07-01;IIG;101
1700;Ambacki;Walery;2008-04-14;IIG;100
1512;Bpbacka;Florianna;2008-01-29;IIG;100
1187;Bwbacki;Aureliusz;2008-07-18;IIG;100
1504;Cbbacki;Kancjan;2008-11-21;IIG;100
1150;Cibacki;Felicjan;2008-01-21;IIG;100
1531;Dgbacka;Gloria;2008-09-19;IIG;100
1535;Dnbacka;Wioleta;2008-05-20;IIG;100
1333;Elbacka;Lawinia;2008-03-18;IIG;100
1250;Fpbacki;Kryspin;2008-07-26;IIG;100
1619;Gubacka;Konstantyna;2008-08-25;IIG;100
1137;Gwbacki;Tyberiusz;2008-06-26;IIG;100
1258;Hgbacki;January;2008-09-30;IIG;100
1192;Hkbacka;Florianna;2008-12-06;IIG;100
1614;Kfbacka;Pulcheria;2008-01-06;IIG;100
1560;Khbacki;Antonin;2008-03-11;IIG;100
1281;Lgbacka;Tyburcja;2008-02-28;IIG;101
1613;Olbacka;Fortunata;2008-11-12;IIG;100
1255;Otbacki;Tyburcy;2008-11-11;IIG;100
1094;Phbacki;Matern;2008-05-28;IIG;101
1728;Rwbacka;Auksencja;2008-09-14;IIG;100
1349;Sdbacka;Wirginia;2008-06-22;IIG;100
1779;Tgbacki;Gracjan;2008-04-10;IIG;100
1576;Tkbacki;Cezary;2008-03-22;IIG;100
1370;Tobacka;Angelika;2008-06-29;IIG;100
1476;Uwbacki;Marcjan;2008-08-15;IIG;100
1646;Ajbacki;Sabin;2007-03-29;IIIA;100
1651;Anbacki;Maksymilian;2007-08-25;IIIA;100
1067;Cpbacka;Wirydiana;2007-01-11;IIIA;100
1021;Dmbacki;Rufus;2007-02-10;IIIA;101
1783;Dtbacki;Patrycjusz;2007-03-17;IIIA;100
1418;Edbacka;Felicja;2007-11-09;IIIA;100
1212;Erbacki;Cecylian;2007-09-26;IIIA;100
1724;Glbacki;Bonit;2007-10-06;IIIA;100
1475;Kebacki;Tuliusz;2007-11-14;IIIA;100
1079;Ksbacki;Marcjalis;2007-08-14;IIIA;101
1776;Lhbacka;Paschalina;2007-12-07;IIIA;100
1017;Mabacka;Fabia;2007-12-29;IIIA;100
1020;Mbbacki;Serwiusz;2007-11-17;IIIA;100
1039;Npbacka;Klara;2007-10-06;IIIA;100
1450;Ocbacki;Gaudenty;2007-06-17;IIIA;101
1091;Okbacka;Letycja;2007-12-11;IIIA;100
1550;Owbacka;Rozalia;2007-09-15;IIIA;100
1382;Owbacki;Justynian;2007-11-24;IIIA;100
1082;Pdbacka;Fabia;2007-01-05;IIIA;100
1615;Pibacki;Sulpicjusz;2007-12-08;IIIA;100
1313;Ppbacki;Mamertyn;2007-03-01;IIIA;100
1742;Pubacka;Florentyna;2007-06-10;IIIA;100
1431;Rsbacki;Matern;2007-06-11;IIIA;100
1386;Shbacka;Leonia;2007-03-02;IIIA;100
1725;Sibacka;Humbelina;2007-08-12;IIIA;100
1135;Ufbacka;Honorata;2007-11-15;IIIA;101
1230;Wabacka;Zyta;2007-04-17;IIIA;100
1149;Whbacki;Arsacjusz;2007-01-21;IIIA;100
1675;Wjbacki;Serwacy;2007-10-28;IIIA;100
1182;Wwbacki;Sylwester;2007-02-17;IIIA;100
1322;Arbacki;Dorian;2007-08-25;IIIB;010
1353;Bibacki;Floryn;2007-08-24;IIIB;010
1350;Djbacki;Laurencjusz;2007-05-27;IIIB;010
1105;Ftbacka;Lilianna;2007-04-03;IIIB;010
1256;Fwbacki;Donat;2007-04-16;IIIB;010
1747;Gebacki;Cyprian;2007-03-24;IIIB;010
1750;Gfbacki;Ursyn;2007-04-23;IIIB;010
1383;Gjbacki;Konstancjusz;2007-07-24;IIIB;010
1159;Hdbacka;Florianna;2007-07-30;IIIB;010
1628;Hmbacka;Saturnina;2007-10-27;IIIB;010
1797;Hsbacki;Klementyn;2007-04-20;IIIB;010
1311;Kgbacka;Auksencja;2007-01-21;IIIB;011
1540;Kkbacka;Blandyna;2007-03-28;IIIB;010
1104;Mobacka;Sylwestra;2007-08-30;IIIB;010
1223;Nhbacka;Innocenta;2007-02-17;IIIB;010
1269;Nkbacki;Tryfiliusz;2007-12-19;IIIB;010
1493;Oebacki;Lucjan;2007-06-22;IIIB;010
1231;Ombacka;Gaja;2007-04-25;IIIB;010
1443;Oobacki;Flawiusz;2007-09-16;IIIB;010
1253;Opbacka;Sewera;2007-09-29;IIIB;010
1555;Osbacki;Sylwan;2007-04-28;IIIB;010
1711;Rebacka;Lucja;2007-10-01;IIIB;010
1592;Rpbacki;Kajetan;2007-10-15;IIIB;010
1668;Rtbacki;Marcjalis;2007-05-26;IIIB;010
1064;Sabacka;Lilia;2007-12-06;IIIB;011
1081;Sfbacka;Flora;2007-03-15;IIIB;010
1489;Tjbacki;Natalis;2007-10-05;IIIB;010
1758;Tmbacki;Aurelian;2007-01-05;IIIB;010
1656;Udbacka;Paula;2007-06-06;IIIB;010
1796;Uebacki;Fotyn;2007-04-15;IIIB;010
1726;Aobacki;Juniusz;2007-10-03;IIIC;100
1153;Atbacka;Leona;2007-12-21;IIIC;100
1402;Aubacki;Patrycjusz;2007-07-19;IIIC;100
1152;Cbbacka;Florianna;2007-06-07;IIIC;100
1445;Cobacka;Romana;2007-03-02;IIIC;100
1060;Ddbacki;Horacy;2007-12-19;IIIC;101
1771;Dibacka;Tuskana;2007-03-03;IIIC;010
1397;Efbacki;Maur;2007-01-10;IIIC;100
1404;Etbacka;Mamertyna;2007-07-04;IIIC;100
1780;Gpbacki;Sylwiusz;2007-07-18;IIIC;101
1257;Grbacka;Klarysa;2007-01-29;IIIC;100
1041;Hfbacki;Klementyn;2007-11-01;IIIC;100
1494;Hrbacka;Hadrianna;2007-01-17;IIIC;100
1507;Htbacka;Benigna;2007-09-16;IIIC;100
1577;Hubacki;Tytus;2007-04-24;IIIC;100
1336;Kgbacki;Maur;2007-07-24;IIIC;100
1464;Lobacka;Materna;2007-12-11;IIIC;101
1077;Lubacki;Marceli;2007-02-04;IIIC;100
1293;Mkbacka;Wirydiana;2007-09-21;IIIC;100
1294;Mtbacka;Wiktoria;2007-06-04;IIIC;100
1227;Nobacki;Justyn;2007-02-09;IIIC;100
1574;Osbacka;Kancjanela;2007-07-11;IIIC;100
1108;Pbbacki;Ardalion;2007-10-30;IIIC;100
1251;Pobacka;Tulia;2007-06-01;IIIC;100
1702;Prbacki;Fabian;2007-04-03;IIIC;100
1682;Robacka;Konkordia;2007-03-02;IIIC;100
1502;Uibacki;Sekundyn;2007-01-21;IIIC;100
1341;Ulbacka;B³a¿eja;2007-07-27;IIIC;100
1034;Wabacki;Eligiusz;2007-10-09;IIIC;100
1219;Wnbacki;Cecylian;2007-01-11;IIIC;100
1261;Apbacki;Bonet;2007-06-09;IIID;010
1710;Arbacka;Amanda;2007-07-17;IIID;010
1292;Babacka;Honoryna;2007-10-28;IIID;010
1798;Cabacki;Maksencjusz;2007-02-03;IIID;011
1787;Dkbacki;Balbin;2007-03-19;IIID;010
1637;Eibacka;Gajana;2007-01-04;IIID;010
1066;Erbacka;Maura;2007-12-01;IIID;010
1185;Fibacka;Augustyna;2007-06-23;IIID;010
1642;Fnbacki;Wiktor;2007-08-31;IIID;010
1598;Gkbacki;Sekundyn;2007-05-17;IIID;010
1755;Hlbacka;Antonina;2007-02-28;IIID;010
1754;Kcbacka;Tacjana;2007-11-22;IIID;011
1461;Kcbacki;Tygriusz;2007-11-25;IIID;010
